code,rank,visa_free_count,year
BE,3,0,2007
BE,4,127,2006
BE,6,186,2022
BE,7,186,2023
BE,4,191,2024
BE,4,188,2025
BZ,59,101,2021
BZ,53,101,2018
BZ,52,101,2020
BZ,56,95,2017
BZ,55,94,2016
BZ,56,91,2015
BZ,44,93,2014
BZ,46,87,2013
BZ,53,86,2012
BZ,53,83,2011
BZ,50,82,2010
BZ,42,0,2009
BZ,42,75,2008
BZ,54,99,2019
BZ,42,0,2007
BZ,42,58,2006
BZ,52,101,2022
BZ,54,103,2023
BZ,54,104,2024
BZ,46,102,2025
BJ,87,61,2021
BJ,78,62,2020
BJ,80,61,2018
BJ,78,58,2017
BJ,78,59,2016
BJ,83,56,2015
BJ,70,58,2014
BJ,72,55,2013
BJ,78,55,2012
BJ,78,53,2011
BJ,73,54,2010
BJ,65,0,2009
BJ,65,47,2008
BJ,63,0,2007
BJ,61,36,2006
BJ,80,62,2019
BJ,82,61,2022
BJ,83,61,2023
BJ,79,63,2024
BJ,69,67,2025
BT,96,52,2021
BT,87,53,2020
BT,86,55,2018
BT,85,51,2017
BT,86,51,2016
BT,91,48,2015
BT,77,51,2014
BT,77,49,2013
BT,87,46,2012
BT,86,44,2011
BT,83,44,2010
BT,76,0,2009
BT,76,36,2008
BT,76,0,2007
BT,77,19,2006
BT,89,52,2019
BT,90,53,2022
BT,90,53,2023
BT,87,55,2024
BT,82,51,2025
BO,72,79,2021
BO,64,78,2020
BO,66,79,2018
BO,64,75,2017
BO,66,72,2016
BO,70,71,2015
BO,57,74,2014
BO,55,73,2013
BO,65,69,2012
BO,65,67,2011
BO,67,62,2010
BO,50,0,2009
BO,50,65,2008
BO,39,0,2007
BO,29,83,2006
BO,65,78,2019
BO,65,79,2022
BO,66,80,2023
BO,63,82,2024
BO,62,78,2025
BA,54,116,2021
BA,48,118,2018
BA,48,117,2020
BA,53,103,2017
BA,52,101,2016
BA,52,98,2015
BA,42,95,2014
BA,44,91,2013
BA,52,87,2012
BA,50,87,2011
BA,74,53,2010
BA,72,0,2009
BA,72,40,2008
BA,49,116,2019
BA,71,0,2007
BA,71,25,2006
BA,47,117,2022
BA,49,118,2023
BA,50,121,2024
BA,40,123,2025
BW,67,86,2021
BW,59,85,2020
BW,63,82,2018
BW,65,74,2017
BW,66,72,2016
BW,69,72,2015
BW,58,73,2014
BW,58,70,2013
BW,64,70,2012
BW,64,68,2011
BW,60,69,2010
BW,54,0,2009
BW,54,59,2008
BW,52,0,2007
BW,50,48,2006
BW,62,83,2019
BW,60,86,2022
BW,63,87,2023
BW,59,91,2024
BW,57,85,2025
BR,20,170,2021
BR,16,171,2018
BR,18,170,2020
BR,18,156,2017
BR,21,153,2016
BR,22,148,2015
BR,21,146,2014
BR,19,146,2013
BR,22,141,2012
BR,25,140,2011
BR,28,130,2010
BR,23,0,2009
BR,23,122,2008
BR,17,170,2019
BR,21,0,2007
BR,20,99,2006
BR,20,169,2022
BR,20,170,2023
BR,17,173,2024
BR,16,170,2025
BN,23,166,2021
BN,20,165,2018
BN,21,166,2020
BN,22,152,2017
BN,23,151,2016
BN,20,150,2015
BN,17,150,2014
BN,19,146,2013
BN,24,139,2012
BN,21,144,2011
BN,24,134,2010
BN,19,0,2009
BN,19,129,2008
BN,21,165,2019
BN,19,0,2007
BN,19,101,2006
BN,22,166,2022
BN,23,166,2023
BN,20,168,2024
BN,18,164,2025
BG,17,173,2021
BG,18,169,2018
BG,17,171,2020
BG,20,154,2017
BG,21,153,2016
BG,21,149,2015
BG,18,149,2014
BG,21,141,2013
BG,26,137,2012
BG,22,143,2011
BG,25,133,2010
BG,25,0,2009
BG,25,116,2008
BG,17,170,2019
BG,27,0,2007
BG,29,83,2006
BG,17,173,2022
BG,18,174,2023
BG,13,179,2024
BG,13,177,2025
BF,90,58,2021
BF,81,59,2020
BF,84,57,2018
BF,80,56,2017
BF,81,56,2016
BF,87,52,2015
BF,73,55,2014
BF,73,53,2013
BF,79,54,2012
BF,80,51,2011
BF,76,51,2010
BF,68,0,2009
BF,68,44,2008
BF,65,0,2007
BF,62,35,2006
BF,83,58,2019
BF,85,58,2022
BF,86,58,2023
BF,82,60,2024
BF,75,59,2025
BI,97,51,2021
BI,90,50,2020
BI,95,46,2018
BI,91,44,2017
BI,95,42,2016
BI,98,41,2015
BI,86,42,2014
BI,85,41,2013
BI,93,40,2012
BI,95,35,2011
BI,89,37,2010
BI,82,0,2009
BI,82,30,2008
BI,80,0,2007
BI,78,18,2006
BI,93,48,2019
BI,92,51,2022
BI,93,50,2023
BI,90,51,2024
BI,85,48,2025
KH,95,53,2021
KH,86,54,2020
KH,87,54,2018
KH,88,48,2017
KH,87,50,2016
KH,92,47,2015
KH,78,50,2014
KH,79,47,2013
KH,91,42,2012
KH,90,40,2011
KH,87,39,2010
KH,83,0,2009
KH,83,29,2008
KH,81,0,2007
KH,79,17,2006
KH,88,53,2019
KH,90,53,2022
KH,89,54,2023
KH,86,56,2024
KH,82,51,2025
CM,98,50,2021
CM,91,49,2020
CM,93,48,2018
CM,90,45,2017
CM,92,45,2016
CM,95,44,2015
CM,82,46,2014
CM,82,44,2013
CM,94,39,2012
CM,92,38,2011
CM,85,42,2010
CM,75,0,2009
CM,75,37,2008
CM,72,0,2007
CM,70,26,2006
CM,92,49,2019
CM,93,50,2022
CM,92,51,2023
CM,88,53,2024
CM,84,49,2025
CA,8,184,2021
CA,6,185,2018
CA,9,183,2020
CA,6,171,2017
CA,6,172,2016
CA,4,170,2015
CA,2,173,2014
CA,4,170,2013
CA,6,163,2012
CA,9,164,2011
CA,9,157,2010
CA,4,0,2009
CA,4,154,2008
CA,6,184,2019
CA,5,0,2007
CA,6,125,2006
CA,7,185,2022
CA,8,185,2023
CA,7,188,2024
CA,8,184,2025
CV,82,66,2021
CV,74,66,2020
CV,76,65,2018
CV,73,0,2017
CV,76,0,2016
CV,82,0,2015
CV,71,0,2014
CV,70,0,2013
CV,76,0,2012
CV,76,0,2011
CV,73,0,2010
CV,65,0,2009
CV,65,0,2008
CV,76,66,2019
CV,77,66,2022
CV,79,66,2023
CV,73,69,2024
CV,69,67,2025
CF,96,52,2021
CF,88,52,2020
CF,92,49,2018
CF,89,46,2017
CF,89,48,2016
CF,95,44,2015
CF,80,48,2014
CF,77,49,2013
CF,86,47,2012
CF,86,44,2011
CF,81,46,2010
CF,75,0,2009
CF,75,37,2008
CF,71,0,2007
CF,68,28,2006
CF,90,51,2019
CF,91,52,2022
CF,91,52,2023
CF,87,55,2024
CF,82,51,2025
TD,95,53,2021
TD,87,53,2020
TD,88,53,2018
TD,85,51,2017
TD,88,49,2016
TD,92,47,2015
TD,81,47,2014
TD,80,46,2013
TD,90,43,2012
TD,89,41,2011
TD,82,0,2010
TD,75,0,2009
TD,75,0,2008
TD,88,53,2019
TD,90,53,2022
TD,90,53,2023
TD,87,55,2024
TD,81,52,2025
CL,16,174,2021
CL,14,174,2018
CL,15,174,2020
CL,17,157,2017
CL,19,155,2016
CL,20,150,2015
CL,18,149,2014
CL,21,141,2013
CL,26,137,2012
CL,24,141,2011
CL,27,131,2010
CL,20,0,2009
CL,20,127,2008
CL,13,174,2019
CL,17,0,2007
CL,14,109,2006
CL,16,174,2022
CL,18,174,2023
CL,15,177,2024
CL,14,176,2025
CN,72,79,2021
CN,67,75,2020
CN,71,74,2018
CN,85,51,2017
CN,87,50,2016
CN,94,45,2015
CN,83,45,2014
CN,82,44,2013
CN,92,41,2012
CN,90,40,2011
CN,88,38,2010
CN,79,0,2009
CN,79,33,2008
CN,78,0,2007
CN,78,18,2006
CN,72,71,2019
CN,64,80,2022
CN,66,80,2023
CN,62,85,2024
CN,58,83,2025
CO,44,129,2021
CO,42,127,2018
CO,42,127,2020
CO,50,107,2017
CO,50,103,2016
CO,75,66,2015
CO,64,66,2014
CO,65,63,2013
CO,74,59,2012
CO,77,54,2011
CO,73,54,2010
CO,64,0,2009
CO,64,48,2008
CO,43,126,2019
CO,64,0,2007
CO,64,32,2006
CO,39,131,2022
CO,39,133,2023
CO,40,135,2024
CO,35,132,2025
KM,95,53,2021
KM,87,53,2020
KM,89,52,2018
KM,88,0,2017
KM,90,0,2016
KM,94,0,2015
KM,83,0,2014
KM,83,0,2013
KM,92,0,2012
KM,92,0,2011
KM,89,0,2010
KM,85,0,2009
KM,81,0,2008
KM,88,53,2019
KM,90,53,2022
KM,90,53,2023
KM,87,55,2024
KM,81,52,2025
CG,100,48,2021
CG,92,48,2020
CG,94,47,2018
CG,92,43,2017
CG,93,44,2016
CG,98,41,2015
CG,84,44,2014
CG,82,44,2013
CG,91,42,2012
CG,91,39,2011
CG,85,42,2010
CG,76,0,2009
CG,76,36,2008
