year,estimate,code
1996,-0.96,GQ
1996,-1.15,ER
1996,0.61,EE
1996,-0.64,SZ
1996,-1.21,ET
1996,-0.12,FJ
1996,1.72,FI
1996,1.25,FR
1996,0.90,GF
1996,-0.20,GA
1996,-0.62,GM
1996,-0.64,GE
1996,1.72,DE
1996,-0.12,GH
1996,0.84,GR
1996,..,GL
1996,0.64,GD
1996,..,GU
1996,-0.45,GT
1996,-1.17,GN
1996,-1.41,GW
1996,-0.38,GY
1996,-1.00,HT
1996,-0.74,HN
1996,1.04,HK
1996,0.86,HU
1996,1.86,IS
1996,-0.11,IN
1996,-0.71,ID
1996,-0.60,IR
1996,-2.09,IQ
1996,1.67,IE
1996,0.77,IL
1996,0.84,IT
1996,0.14,JM
1996,0.91,JP
1996,-0.03,JO
1996,-0.96,KZ
1996,-0.52,KE
1996,..,KI
1996,-1.89,KP
1996,0.47,KR
1996,..,XK
1996,0.12,KW
1996,-0.38,KG
1996,-0.64,LA
1996,0.49,LV
1996,-0.13,LB
1996,-0.12,LS
1996,-1.72,LR
1996,-0.88,LY
1996,1.67,LI
1996,0.53,LT
1996,1.96,LU
1996,0.39,MO
1996,-0.45,MG
1996,-0.29,MW
1996,0.54,MY
1996,0.90,MV
1996,-1.00,ML
1996,0.93,MT
1996,..,MH
1996,-0.12,MR
1996,0.20,MU
1996,0.23,MX
1996,..,FM
1996,-0.22,MD
1996,..,MC
1996,-0.38,MN
1996,..,ME
1996,-0.10,MA
1996,-0.14,MZ
1996,-1.21,MM
1996,0.43,NA
1996,..,NR
1996,-0.38,NP
1996,1.94,NL
1996,1.77,NZ
1996,-0.57,NI
1996,-1.17,NE
1996,-0.92,NG
1996,..,NU
1996,-0.64,MK
1996,1.95,NO
1996,0.44,OM
1996,-0.62,PK
1996,..,PW
1996,0.22,PA
1996,-0.34,PG
1996,-0.91,PY
1996,0.03,PE
1996,-0.31,PH
1996,0.68,PL
1996,1.27,PT
1996,1.16,PR
1996,0.56,QA
1996,-0.29,RO
1996,-0.45,RU
1996,-1.15,RW
1996,..,RE
1996,0.39,WS
1996,..,SM
1996,-0.18,SA
1996,0.08,SN
1996,-1.06,RS
1996,0.64,SC
1996,-1.41,SL
1996,1.99,SG
1996,0.46,SK
1996,0.89,SI
1996,..,SB
1996,-1.96,SO
1996,1.02,ZA
1996,..,SS
1996,1.62,ES
1996,-0.18,LK
1996,..,KN
1996,..,LC
1996,..,VC
1996,-0.99,SD
1996,-0.69,SR
1996,1.92,SE
1996,1.76,CH
1996,-0.80,SY
1996,-0.38,ST
1996,0.55,TW
1996,-1.41,TJ
1996,-0.69,TZ
1996,0.18,TH
1996,..,TL
1996,-0.69,TG
1996,..,TO
1996,-0.10,TT
1996,0.38,TN
1996,-1.15,TM
1996,..,TV
1996,-0.08,TR
1996,-0.69,UG
1996,-0.67,UA
1996,0.78,AE
1996,1.88,GB
1996,1.52,US
1996,0.58,UY
1996,-1.20,UZ
1996,..,VU
1996,-0.54,VE
1996,-0.58,VN
1996,..,VI
1996,-1.15,PS
1996,-0.62,YE
1996,-1.13,ZM
1996,-0.32,ZW
1996,-2.42,AF
1996,-0.34,AL
1996,-1.78,DZ
1996,..,AS
1996,1.17,AD
1996,-2.06,AO
1996,..,AI
1996,0.72,AG
1996,0.11,AR
1996,-0.36,AM
1996,..,AW
1996,1.40,AU
1996,1.41,AT
1996,-0.83,AZ
1996,1.07,BS
1996,-0.31,BH
1996,-0.55,BD
1996,1.05,BB
1996,0.09,BY
1996,1.29,BE
1996,0.56,BZ
1996,1.05,BJ
1996,0.72,BM
1996,0.72,BT
1996,-0.13,BO
1996,-0.59,BA
1996,1.02,BW
1996,-0.22,BR
1996,1.24,BN
1996,-0.09,BG
1996,-0.30,BF
1996,-2.12,BI
1996,-1.10,KH
1996,-0.96,CM
1996,1.23,CA
1996,1.04,CV
1996,0.72,KY
1996,-1.21,CF
1996,-1.00,TD
1996,0.68,CL
1996,-0.10,CN
1996,-1.65,CO
1996,-2.68,CD
1996,-1.22,CG
1996,..,CK
1996,0.75,CR
1996,-0.04,HR
1996,0.23,CU
1996,0.39,CY
1996,1.15,CZ
1996,0.03,CI
1996,1.44,DK
1996,-0.34,DJ
1996,0.72,DM
1996,-0.08,DO
1996,-0.77,EC
1996,-0.53,EG
1996,-0.22,SV
1996,-0.13,GQ
1996,-0.94,ER
1996,0.77,EE
1996,-0.21,SZ
1996,-1.05,ET
1996,0.83,FJ
1996,1.41,FI
1996,0.89,FR
1996,0.04,GF
1996,0.13,GA
1996,0.56,GM
1996,-1.57,GE
1996,1.29,DE
1996,-0.23,GH
1996,0.55,GR
1996,..,GL
1996,0.91,GD
1996,..,GU
1996,-1.01,GT
1996,-1.15,GN
1996,-1.54,GW
1996,-0.27,GY
1996,-0.76,HT
1996,-0.47,HN
1996,0.58,HK
1996,1.01,HU
1996,1.33,IS
1996,-0.97,IN
1996,-1.13,ID
1996,-0.32,IR
1996,-1.82,IQ
